Word,CEFR,Receptive_freq
jättekonstig,B1,1
jättekul,A2,1
jätteledsen,B2,1
jättelik,B2,1
jättelik,C1,4
jättenervös,C1,1
jätterolig,A2,3
jätteskön,A2,1
jättesnäll,B2,1
jättesnygg,B1,1
jättesöt,A2,1
jättestor,A2,6
jättestor,B1,2
jättestor,B2,3
jättestor,C1,1
jättetråkig,A1,2
jättetråkig,B2,1
jättetråkig,C1,2
jättetrevlig,A1,1
jättetrevlig,A2,4
jättetrevlig,B1,1
jättetrevlig,B2,2
jättetrevlig,C1,1
jättetrött,A2,2
jätteviktig,B1,4
jävla,B2,3
jävla,C1,2
jobbig,A2,1
jobbig,B1,13
jobbig,B2,4
jobbig,C1,9
jordig,B1,1
jordnära,C1,2
juridisk,C1,3
juris,A2,5
kafkaartad,C1,1
kal,A2,1
kal,C1,1
kall,A1,13
kall,A2,24
kall,B1,43
kall,B2,24
kall,C1,12
kallsvettig,B2,1
kamratlig,C1,1
känd,B1,2
kännbar,B1,1
kännbar,B2,1
kännbar,C1,1
känslig,B1,2
känslig,B2,2
känslig,C1,11
känslokall,B2,1
känslomässig,C1,4
kantonesisk,C1,1
kaotisk,B2,2
kaotisk,C1,2
kapprak,B2,1
kär,A1,3
kär,A2,8
kär,B1,12
kär,B2,19
kär,C1,8
karaktäristisk,B2,2
karaktäristisk,C1,1
karakteristisk,B2,2
karakteristisk,C1,1
karg,C1,3
karismatisk,B2,1
kärleksfull,B2,1
kärleksfull,C1,2
kärv,C1,4
katastrofal,B2,1
katastrofal,C1,3
katolsk,B1,3
katolsk,B2,3
katolsk,C1,2
keff,C1,5
kinesisk,A1,4
kinesisk,A2,7
kinesisk,B1,8
kinesisk,B2,3
kinesisk,C1,3
kinkig,C1,2
kitslig,B2,1
klar,A1,2
klar,A2,1
klar,B1,4
klar,B2,10
klar,C1,8
klassisk,A1,3
klassisk,A2,2
klassisk,B1,8
klassisk,B2,4
klimatologisk,C1,1
klimatsmart,B2,15
klinisk,B2,1
klok,A1,1
klok,A2,1
klok,B1,6
klok,B2,14
klok,C1,25
knapp,A2,1
knapp,B2,2
knapp,C1,1
knasig,B1,1
knasig,B2,3
knasig,C1,1
knepig,C1,4
knölig,B2,2
knottrig,B2,2
kollektiv,B2,4
kollektiv,C1,2
kolsvart,C1,1
kommersiell,B1,1
kommersiell,B2,1
kommunal,A2,2
kommunal,B1,4
kommunal,B2,1
kommunal,C1,5
kommunistisk,A2,1
kommunistisk,C1,1
kompakt,B2,1
kompakt,C1,1
komparativ,A2,2
komparativ,B1,5
komparativ,B2,5
komparativ,C1,4
kompetent,B1,2
kompetent,B2,1
kompetent,C1,1
komplex,C1,5
konfliktfylld,B2,1
konkret,B2,2
konkret,C1,3
konservativ,A2,1
konservativ,C1,2
könsneutral,C1,4
konstant,B2,2
konstant,C1,2
konstgjord,B1,2
konstgjord,B2,1
konstgjord,C1,7
konstig,A2,12
konstig,B1,16
konstig,B2,16
konstig,C1,20
konstitutionell,A2,1
konstitutionell,B1,1
konstnärlig,B1,6
konstnärlig,C1,3
konstruktiv,B1,1
kontant,A2,1
kontant,B2,1
kontinental,B2,1
kontraproduktiv,C1,2
kontroversiell,C1,3
konventionell,B1,1
konvulsivisk,C1,1
koptisk,B2,1
koreansk,A1,2
koreansk,A2,2
koreansk,B2,1
korkad,B2,1
